longitude,latitude,updated_type,updated_subtype,count
-87.75,41.96,Road Closed,Event,9907
-87.65,41.88,Road Closed,Event,5002
-87.63,41.84,Road Closed,Event,4974
-87.6,41.69,Road Closed,Event,4964
-87.65,41.89,Road Closed,Event,4964
-87.64,41.71,Road Closed,Event,4947
-87.75,41.97,Road Closed,Event,4932
-87.65,41.88,Jam,Standstill Traffic,4666
-87.66,41.9,Jam,Heavy Traffic,4323
-87.65,41.89,Jam,Standstill Traffic,4278
-87.65,41.88,Jam,Heavy Traffic,4214
-87.65,41.89,Jam,Heavy Traffic,4194
-87.66,41.9,Jam,Standstill Traffic,3563
-87.63,41.84,Hazard,Hazard - Shoulder,3388
-87.63,41.82,Hazard,Hazard - Shoulder,3208
-87.74,41.96,Jam,Heavy Traffic,2945
-87.65,41.89,Hazard,Hazard - Shoulder,2877
-87.65,41.88,Hazard,Hazard - Shoulder,2826
-87.63,41.8,Hazard,Hazard - Shoulder,2816
-87.75,41.97,Hazard,Hazard - Shoulder,2788
-87.63,41.79,Hazard,Hazard - Shoulder,2754
-87.76,41.97,Jam,Heavy Traffic,2752
-87.71,41.94,Jam,Heavy Traffic,2731
-87.63,41.83,Hazard,Hazard - Shoulder,2704
-87.63,41.81,Hazard,Hazard - Shoulder,2641
-87.69,41.93,Jam,Heavy Traffic,2514
-87.76,41.97,Jam,Standstill Traffic,2503
-87.59,41.66,Hazard,Hazard - Shoulder,2498
-87.64,41.87,Hazard,Hazard - Shoulder,2464
-87.66,41.9,Hazard,Hazard - Shoulder,2460
-87.67,41.92,Jam,Heavy Traffic,2458
-87.63,41.78,Hazard,Hazard - Shoulder,2449
-87.63,41.85,Hazard,Hazard - Shoulder,2441
-87.78,41.98,Jam,Heavy Traffic,2428
-87.75,41.97,Jam,Heavy Traffic,2399
-87.64,41.85,Jam,Heavy Traffic,2374
-87.73,41.82,Hazard,Hazard - Shoulder,2352
-87.73,41.87,Hazard,Hazard - Shoulder,2350
-87.75,41.98,Jam,Standstill Traffic,2347
-87.72,41.95,Jam,Heavy Traffic,2344
-87.66,41.91,Jam,Heavy Traffic,2314
-87.74,41.96,Jam,Standstill Traffic,2287
-87.62,41.72,Hazard,Hazard - Shoulder,2221
-87.75,41.98,Jam,Heavy Traffic,2194
-87.61,41.71,Hazard,Hazard - Shoulder,2186
-87.62,41.73,Hazard,Hazard - Shoulder,2171
-87.74,41.96,Hazard,Hazard - Shoulder,2158
-87.75,41.87,Hazard,Hazard - Shoulder,2124
-87.63,41.76,Hazard,Hazard - Shoulder,2107
-87.73,41.95,Jam,Heavy Traffic,2089
-87.64,41.85,Hazard,Hazard - Shoulder,2079
-87.75,41.97,Jam,Standstill Traffic,2079
-87.67,41.88,Hazard,Hazard - Road,2060
-87.77,41.97,Jam,Heavy Traffic,2057
-87.69,41.93,Hazard,Hazard - Shoulder,2042
-87.67,41.88,Hazard,Hazard - Shoulder,2033
-87.7,41.93,Jam,Heavy Traffic,2017
-87.66,41.88,Hazard,Hazard - Shoulder,2015
-87.71,41.83,Hazard,Hazard - Shoulder,2006
-87.6,41.68,Hazard,Hazard - Shoulder,1988
-87.71,41.94,Jam,Standstill Traffic,1983
-87.79,41.98,Jam,Heavy Traffic,1972
-87.73,41.95,Jam,Standstill Traffic,1972
-87.68,41.92,Jam,Heavy Traffic,1960
-87.78,41.98,Jam,Standstill Traffic,1913
-87.68,41.88,Hazard,Hazard - Shoulder,1910
-87.72,41.95,Hazard,Hazard - Shoulder,1879
-87.75,41.98,Hazard,Hazard - Shoulder,1865
-87.71,41.94,Hazard,Hazard - Shoulder,1839
-87.72,41.87,Hazard,Hazard - Shoulder,1826
-87.62,41.9,Jam,Standstill Traffic,1823
-87.75,41.96,Jam,Heavy Traffic,1820
-87.74,41.87,Hazard,Hazard - Shoulder,1810
-87.72,41.82,Hazard,Hazard - Shoulder,1796
-87.66,41.84,Hazard,Hazard - Shoulder,1780
-87.78,41.98,Hazard,Hazard - Shoulder,1758
-87.65,41.88,Hazard,Hazard - Road,1743
-87.71,41.87,Hazard,Hazard - Shoulder,1732
-87.63,41.77,Hazard,Hazard - Shoulder,1724
-87.7,41.94,Jam,Heavy Traffic,1718
-87.58,41.65,Hazard,Hazard - Shoulder,1709
-87.67,41.92,Jam,Standstill Traffic,1708
-87.74,41.82,Hazard,Hazard - Shoulder,1706
-87.62,41.87,Jam,Standstill Traffic,1699
-87.64,41.85,Jam,Standstill Traffic,1698
-87.6,41.67,Hazard,Hazard - Shoulder,1688
-87.77,41.97,Jam,Standstill Traffic,1676
-87.77,41.87,Hazard,Hazard - Shoulder,1672
-87.6,41.71,Hazard,Hazard - Shoulder,1636
-87.72,41.95,Jam,Standstill Traffic,1626
-87.66,41.99,Jam,Standstill Traffic,1595
-87.63,41.84,Jam,Heavy Traffic,1589
